Sl No,Button Msg,
0,"Account Management Service (AMS)
We will trade in your account on your behalf. You need to share only 30% of the profit amount.",127
1,"Premium Subscription
You will get the trade-setups from our side. You trade on your own. You don't need to share any profit.",124
2,"Option AMS
Trades are in STOCK OPTION buying. No index (Nifty, bnf) Option or Option writing",92
3,"Stock PMS
Investments only in EQUITY stocks",43
4,Go Back to Main Menu,20
5,HNI Stock Option,16
6,Whatsapp Prime,14
7,"Okay, I am interested to subscribe for Option AMS services",58
8,I've a few more queries on Option AMS,37
9,"Okay, I am interested to subscribe for Stock PMS services",57
10,"I've gone through all FAQs but my query yet not resolved, connect me to team",76
11,"Okay, I am interested to subscribe for HNI Stock Option services",64
12,I've a few more queries on HNI Stock Option,43
13,I've a few more queries on Whatsapp Prime,41
14,Zerodha,7
15,Upstox,6
16,Angel Broking,13
17,Alice Blue,10
18,Groww,5
19,What's the minimum or guaranteed return?/ What's the expected return?,69
20,What's the minimum capital to start with?,41
21,What's the risk or maximum loss in AMS ?,40
22,How many trades will be there in a day?,39
23,will you trade daily in our account?,36
24,When to share profit?,21
25,Can we watch the trades in live market hours?,45
26,Profit will be shared based on net profit or taxes are also included at the time of profit calculation?,103
27,How many days AMS is valid?,27
28,Can I pay 5k after first profit?,32
29,Can I pay in installments like 3k and 2k?,42
30,Why are charging 5k when you're already taking 30% of profit?,61
31,Can I increase or decrease the capital after starting?,54
32,Do I need to pay again if I pause and then resume after a few days or months?,77
33,What's the accuracy you have in your calls?,43
34,Can I start with low capital?,29
35,How much can I earn intraday? ,30
36,Will I get sufficient time to enter?,36
37,Can you please give some discount?,34
38,Will we get proper update or live market support will be there?,63
39,You've given a range like buy HdfcBank 1400 ce 41 to 33 sl 30 clbs target 70. Where to buy? 41 or 33?,101
40,What's your past performance?,29
41,25000-50000 Rs.,15
42,50000 - 1 Lakh Rs.,18
43,1 - 2 Lakh Rs.,14
44,2 - 3 Lakh Rs.,14
45,More than 3 Lakh Rs.,20
46,"Okay, I am interested to subscribe for Whatsapp Prime",53
47,Zerodha Account,15
48,Upstox Account,14
49,Angel Broking Account,21
50,Alice Blue Account,18
51,Groww Account,13
52,What is the accuracy you have in your calls?,44
53,Can I start with lower capital?,31
54,How much can I earn in a day? ,30
55,Will I get enough time to enter?,32
56,Can you please give me some discount?,37
57,Will we get proper update? or live market support will be there?,64
58,You've given a range. For example - buy HdfcBank 1400 ce 41 to 33 sl 30 clbs target 70. Where to buy? 41 or 33?,111
59,What is your past performance?,30
